PRODUCT_SKU,PRODUCT_NAME,PRODUCT_CONTENT,PRODUCT_MEASUREMENT_UNIT,PRODUCT_IS_WEIGHABLE,PRODUCT_TAX_RATE,PRODUCT_PRICE,PRODUCT_STOCK,IMAGE
025109000,MASTICADOR CON AGUA CARLITOS MANOS,1,UNI,N,15,0.49,2.00000,https://gdn-products-prd.s3.amazonaws.com/025109000/025109000_1.jpeg
103643000,RECIPIENTE DE VIDRIO 1.5 L HOME CLUB,1,UNI,N,15,5.99,9.00000,https://gdn-products-prd.s3.amazonaws.com/103643000/103643000_1.jpeg
103808000,JARRO DE CERAMICA 12 OZ HOME CLUB DIARIO,1,UNI,N,15,1.59,93.00000,https://gdn-products-prd.s3.amazonaws.com/103808000/103808000_1.jpeg
140669000,LIMPIA VIDRIOS RPTO TIPS DOYPACK 500 ML ORIGINAL,500,ML,N,15,1.77,6.00000,https://gdn-products-prd.s3.amazonaws.com/140669000/140669000_1.jpeg
140729000,LIMPIADOR PARA COCINA RPTO MR MUSCULO 500 ML ACCION NARANJA,500,ML,N,15,3.69,7.00000,https://gdn-products-prd.s3.amazonaws.com/140729000/140729000_1.jpeg
142903000,CUCHARA TENEDOR PLASTICA PLASTIUTIL 50 UNI,50,UNI,N,15,1.57,8.00000,https://gdn-products-prd.s3.amazonaws.com/142903000/142903000_1.jpeg
142928000,CUCHARITA PLASTICA PLASTIUTIL 50 UNI,50,UNI,N,15,0.84,7.00000,https://gdn-products-prd.s3.amazonaws.com/142928000/142928000_1.jpeg
143011000,VASO TERMICO DESECHABLE 6 OZ PLASTRO 20 UNI,20,UNI,N,15,1.08,18.00000,https://gdn-products-prd.s3.amazonaws.com/143011000/143011000_1.jpeg
143032000,VASO DESECHABLE 7 OZ PLASTIUTIL 50 UNI TRANSPARENTE,50,UNI,N,15,1.99,24.00000,https://gdn-products-prd.s3.amazonaws.com/143032000/143032000_1.jpeg
149503000,CLORO MAYIK 1000 ML,1000,ML,N,15,0.99,21.00000,https://gdn-products-prd.s3.amazonaws.com/149503000/149503000_1.jpeg
160632000,TOALLAS SANITARIAS CON ALAS NOSOTRAS 42 UNI BASICAS,42,UNI,N,0,4.75,25.00000,https://gdn-products-prd.s3.amazonaws.com/160632000/160632000_1.jpeg
149534000,CUCHARITA PLASTICA HOME CLUB 50 UNI,50,UNI,N,15,0.99,13.00000,https://gdn-products-prd.s3.amazonaws.com/149534000/149534000_1.jpeg
122903000,JARRO ACERO INOXIDABLE 12 CM,1,UNI,N,15,3.99,3.00000,https://gdn-products-prd.s3.amazonaws.com/122903000/122903000_1.jpeg
131608000,ENCENDEDOR PARA COCINA BIC HANDY,1,UNI,N,15,2.99,11.00000,https://gdn-products-prd.s3.amazonaws.com/131608000/131608000_1.jpeg
122208000,ACHIOTERO DE ALUMINIO CON TAPA INDALUM,1,UNI,N,15,4.99,5.00000,https://gdn-products-prd.s3.amazonaws.com/122208000/122208000_1.jpeg
093145000,CEPILLO PARA CABELLO 16 CM ELEMENTS BY TRIAL OVALADO REF 551D,1,UNI,N,15,1.99,14.00000,https://gdn-products-prd.s3.amazonaws.com/093145000/093145000_1.jpeg
167070000,CREMA DENTAL COLGATE TRIPLE ACCION 75 ML X 3,225,ML,N,15,3.59,29.00000,https://gdn-products-prd.s3.amazonaws.com/167070000/167070000_1.jpeg
163087000,CREMA CORPORAL SAHARA 500 ML,500,ML,N,15,4.29,7.00000,https://gdn-products-prd.s3.amazonaws.com/163087000/163087000_1.jpeg
162821000,MAQUINA PARA AFEITAR PARA MUJ BIC COMFORT2 PAGUE 4 LLEVE 5,4,UNI,N,15,4.59,27.00000,https://gdn-products-prd.s3.amazonaws.com/162821000/162821000_1.jpeg
